Code,Title,Time,Location,Professor,Size,Days,Lecture
RG ST    80B,Religion and Western Civilization II: Medieval,4:00pm - 4:50pm,HSSB 2202,MCCRACKEN L M,16 / 15,T,['n']
RG ST    80B,Religion and Western Civilization II: Medieval,9:00 am - 9:50 am,GIRV 1106,MCCRACKEN L M,15 / 15,W,['n']
RG ST    80B,Religion and Western Civilization II: Medieval,10:00am - 10:50am,GIRV 1106,MCCRACKEN L M,14 / 15,W,['n']
RG ST    80B,Religion and Western Civilization II: Medieval,11:00am - 11:50am,HSSB 1228,MCCRACKEN L M,16 / 15,W,['n']
RG ST    80B,Religion and Western Civilization II: Medieval,2:00pm - 2:50pm,GIRV 2110,CANTU K E,15 / 15,R,['n']
RG ST    80B,Religion and Western Civilization II: Medieval,5:00pm - 5:50pm,GIRV 2110,CANTU K E,14 / 15,R,['n']
RG ST    80B,Religion and Western Civilization II: Medieval,4:00pm - 4:50pm,ELLSN2816,CANTU K E,15 / 15,R,['n']
RG ST   104,Problems in the Study of Religion,2:00pm - 3:15pm,HSSB 3041,WALKER D S,15 / 15,T R,['y']
RG ST   113,Religion and Film,5:00pm - 6:15pm,BUCHN1940,HECHT R,129 / 130,M W,['y']
RG ST   113,Religion and Film,7:00pm - 9:50pm,NH   1006,HECHT R,129 / 130,M,['n']
RG ST   114E,Adolescent Rites of Passage: Exploring Religious Diversity in   the U.S.,8:00 am - 9:15 am,HSSB 3201,TALAMANTEZ I,21 / 24,T R,['y']
RG ST   114X,"Dante's ""Divine Comedy""",5:00pm - 6:15pm,TD-W 1701,SNYDER J R,24 / 25,T R,['y']
RG ST   115G,The Dead Sea Scrolls and Their Community,9:30 am - 10:45am,SH   1430,GARR W R,28 / 30,M W,['y']
RG ST   116B,Second-Century Christianity,11:00am - 12:15pm,PHELP1444,THOMAS C M,30 / 30,M W,['y']
RG ST   119A,Introduction to Islamic Law,9:30 am - 10:45am,PHELP2532,AHMAD A A,30 / 30,T R,['y']
RG ST   119F,History of Islamic Theology,10:00am - 10:50am,HSSB 4080,EL OMARI R M,3 / 24,M W F,['y']
RG ST   127B,Christian Thought and Cultures of the Middle Ages,2:00pm - 3:15pm,GIRV 2124,WISEMAN W A,29 / 30,M W,['y']
RG ST   131F,The History of Anti-Semitism,11:00am - 12:15pm,HSSB 1174,HECHT R,92 / 90,T R,['y']
RG ST   131H,Politics and Religion in the City: The Case of Jerusalem,3:30pm - 4:45pm,SH   1431,HECHT R,79 / 80,T R,['y']
RG ST   132B,Jewish Dream Interpretation from the Bible to Freud,11:00am - 12:15pm,GIRV 2124,WOLFSON E R,25 / 30,M W,['y']
RG ST   132C,Representations of Jesus in Jewish Thought from Late   Antiquity to the Middle Ages,12:30pm - 1:45pm,GIRV 2124,WOLFSON E R,8 / 30,M W,['y']
RG ST   133C,Studies in Jewish Law,5:00pm - 6:15pm,GIRV 2124,AMIHAY A,32 / 30,M W,['y']
RG ST   138,Topics in Catholic Studies,5:00pm - 6:15pm,HSSB 2201,T B A,0 / 10,M W,['y']
RG ST   140A,Islamic Traditions,5:00pm - 6:15pm,GIRV 2124,THIBDEAU J C,27 / 30,T R,['y']
RG ST   148B,Advanced Arabic,10:00am - 11:50am,HSSB 3030,REYNOLDS D F,5 / 10,T R,['y']
RG ST   156BE,Bio-Medical Ethics,2:00pm - 3:15pm,GIRV 1116,JARRETT G C,21 / 21,T R,['y']
RG ST   157E,Intensive Persian V,11:00am - 12:15pm,HSSB 1206,FEIZMOHAMMADP,18 / 25,T R,['y']
RG ST   157I,Persian Media and Translation,12:30pm - 1:45pm,HSSB 1206,FEIZMOHAMMADP,25 / 25,T R,['y']
RG ST   159B,Elementary Sanskrit,9:00 am - 9:50 am,HSSB 3030,HILLIS G A,5 / 10,MTWR,['y']
RG ST   159J,Religious Literature in Sanskrit: Puranas,6:00pm - 8:50pm,HSSB 3030,HOLDREGE B A,4 / 15,T,['n']
RG ST   185,"Food, Religion, and Culture in the Middle East",2:00pm - 2:50pm,GIRV 1115,CAMPO J E,41 / 45,M W F,['y']
RG ST   190EL,Topics in Religious Studies,3:30pm - 4:45pm,HSSB 1206,BUIJS M E,20 / 25,T R,['y']
RG ST   190FC,First Contact,5:00pm - 7:50pm,HSSB 4080,BUSTO R V,36 / 25,W,['n']
RG ST   190JA,Topics in Religious Studies,9:30 am - 10:45am,HSSB 1207,THORNTON S A,12 / 25,M W,['y']
RG ST   190JB,Topics in Religious Studies,11:00am - 12:15pm,HSSB 1227,FOWLER D S,12 / 25,M W,['y']
RG ST   193,Religion and Ecology in the Americas,9:30 am - 10:45am,HSSB 1173,TALAMANTEZ I,35 / 30,T R,['y']
