event-id,visible,timestamp,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
9421366116,true,2009-08-09 14:00:00.000,31.8149699999999,-24.72176,33,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376889,true,2009-08-09 14:00:00.000,31.29125,-25.03432,37,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366115,true,2009-08-09 13:30:00.000,31.81174,-24.7285299999999,34,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376888,true,2009-08-09 13:30:00.000,31.28762,-25.03609,34,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366114,true,2009-08-09 13:00:00.000,31.80805,-24.73186,36,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376887,true,2009-08-09 13:00:00.000,31.2860799999999,-25.03497,32,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366113,true,2009-08-09 12:30:00.000,31.80151,-24.7352999999999,37,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376886,true,2009-08-09 12:30:00.000,31.2855999999999,-25.0345599999999,33,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366112,true,2009-08-09 12:00:00.000,31.79899,-24.7353799999999,37,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376885,true,2009-08-09 12:00:00.000,31.28563,-25.03452,35,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366111,true,2009-08-09 11:30:00.000,31.79744,-24.73551,38,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376884,true,2009-08-09 11:30:00.000,31.28479,-25.03432,34,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366110,true,2009-08-09 11:00:00.000,31.79607,-24.73607,37,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376883,true,2009-08-09 11:00:00.000,31.28285,-25.03412,31,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366109,true,2009-08-09 10:30:00.000,31.79577,-24.73543,36,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376882,true,2009-08-09 10:30:00.000,31.2819,-25.03415,29,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366108,true,2009-08-09 10:00:00.000,31.7938399999999,-24.73553,36,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376881,true,2009-08-09 10:00:00.000,31.28143,-25.03488,27,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376880,true,2009-08-09 09:30:00.000,31.2809899999999,-25.03506,25,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366107,true,2009-08-09 09:00:00.000,31.7912399999999,-24.7376399999999,33,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376879,true,2009-08-09 09:00:00.000,31.27778,-25.0348599999999,23,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366106,true,2009-08-09 08:30:00.000,31.7917899999999,-24.73509,32,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376878,true,2009-08-09 08:30:00.000,31.27859,-25.0341799999999,22,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421366105,true,2009-08-09 08:00:00.000,31.7932899999999,-24.7339699999999,30,gps,Loxodonta africana,AM105,AM105,ThermochronTracking Elephants Kruger 2007
9421376877,true,2009-08-09 08:00:00.000,31.27832,-25.0331499999999,21,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376876,true,2009-08-09 07:30:00.000,31.27881,-25.0325899999999,20,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376875,true,2009-08-09 07:00:00.000,31.2775399999999,-25.03153,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376874,true,2009-08-09 06:30:00.000,31.27626,-25.03178,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
9421376873,true,2009-08-09 06:00:00.000,31.27605,-25.03205,19,gps,Loxodonta africana,AM107,AM107,ThermochronTracking Elephants Kruger 2007
